SaMale Pupaele,Individual,Caste,Life_Stage,alpha 1,alpha 2,alpha 3,alpha 4,alpha 5,alpha 6,alpha 7,alpha 8,alpha 9/beta 2,beta 1
CON_C1_Adult Worker with Und. RS,C1,Worker,Worker Adult with Und. RS,21,72,65,80,35,2,18,80,758,23
CON_C2_Adult Worker with Und. RS,C2,Worker,Worker Adult with Und. RS,47,97,68,85,90,9,47,110,476,24
CON_C3_Adult Worker with Und. RS,C3,Worker,Worker Adult with Und. RS,19,39,94,41,13,1,24,72,405,8
CON_C1_Male Adult,C1,Male,Male Adult,16,48,77,92,64,15,6,82,789,24
CON_C2_Male Adult,C2,Male,Male Adult,16,24,51,50,37,3,10,52,596,9
CON_C3_Male Adult,C3,Male,Male Adult,25,87,53,112,64,20,14,76,470,18
CON_C1_Male Larvae,C1,Male,Male Larvae,2,28,30,13,26,4,7,65,290,4
CON_C2_Male Larvae,C2,Male,Male Larvae,10,21,29,14,18,0,9,60,250,8
CON_C3_Male Larvae,C3,Male,Male Larvae,15,17,48,12,26,2,23,55,313,4
CON_C1_Male Pupae,C1,Male,Male Pupae,60,127,105,54,37,8,14,161,413,26
CON_C2_Male Pupae,C2,Male,Male Pupae,55,77,99,50,16,11,14,91,344,13
CON_C3_Male Pupae,C3,Male,Male Pupae,90,56,94,38,17,2,14,126,386,20
CON_C1_Mother Queen,C1,Queen,Queen,50,27,117,41,19,1,17,126,741,6
CON_C2_Mother Queen,C2,Queen,Queen,39,28,81,39,24,0,17,123,521,9
CON_C3_Mother Queen,C3,Queen,Queen,25,38,94,42,22,2,23,100,999,12
CON_C1_Rep. Adult Worker,C1,Worker,Worker Rep. Adult,47,26,69,53,25,1,23,96,315,9
CON_C2_Rep. Adult Worker,C2,Worker,Worker Rep. Adult,84,49,103,81,49,4,10,163,476,23
CON_C3_Rep. Adult Worker,C3,Worker,Worker Rep. Adult,27,36,103,63,38,1,11,97,768,26
CON_C1_Worker Larvae,C1,Worker,Worker Larvae,6,28,28,22,20,1,9,58,246,5
CON_C2_Worker Larvae,C2,Worker,Worker Larvae,11,28,44,31,25,4,12,81,216,9
CON_C3_Worker Larvae,C3,Worker,Worker Larvae,22,42,58,26,45,1,13,68,253,16
CON_C1_Worker Pupae,C1,Worker,Worker Pupae,41,85,120,31,15,7,6,111,313,23
CON_C2_Worker Pupae,C2,Worker,Worker Pupae,23,98,126,63,24,8,15,133,408,32
CON_C3_Worker Pupae,C3,Worker,Worker Pupae,31,110,166,52,24,8,17,155,484,36
